seq,timestamp_ns,user_id,item_id,category_id,behavior_code,label,label_valid,is_burst_period
0,9192743,51,700,20,3,1,1,0
1,17828817,82,87,99,0,0,1,0
2,30310322,23,343,29,0,0,1,0
3,37913677,37,276,32,0,0,1,0
4,46721048,75,856,48,0,0,1,0
5,57751457,90,475,59,0,0,1,0
6,68527166,79,686,61,0,0,1,0
7,79501841,50,831,2,0,0,1,0
8,89572247,50,273,3,0,0,1,0
9,99867760,88,776,89,3,1,1,0
10,110765483,52,366,59,0,0,1,0
11,123263378,70,942,34,0,0,1,0
12,133320867,77,871,3,0,0,1,0
13,144731064,1,105,3,0,0,1,0
14,154326569,53,729,43,0,0,1,0
15,165595884,33,269,94,0,0,1,0
16,173660569,47,726,61,0,0,1,0
17,183864807,39,52,23,2,0,1,0
18,193978547,25,40,28,3,1,1,0
19,201527531,14,838,8,0,0,1,0
20,211258450,87,471,62,0,0,1,0
21,220495545,10,674,34,0,0,1,0
22,230227330,32,230,40,0,0,1,0
23,238806441,27,779,33,2,0,1,0
24,248176671,32,573,87,0,0,1,0
25,259278950,36,725,90,1,0,1,0
26,268727210,34,942,77,0,0,1,0
27,279363939,2,502,13,1,0,1,0
28,286986348,26,891,76,0,0,1,0
29,297754172,50,563,95,0,0,1,0
30,309127170,3,748,14,3,1,1,0
31,320097665,42,838,58,0,0,1,0
32,330654878,85,952,5,2,0,1,0
33,342549417,27,339,29,2,0,1,0
34,353483394,61,347,88,0,0,1,0
35,363218394,61,627,76,0,0,1,0
36,374934657,2,410,8,0,0,1,0
37,385547411,61,233,43,0,0,1,0
38,397073128,23,671,95,3,1,1,0
39,406069304,87,829,57,1,0,1,0
40,417828926,51,385,2,0,0,1,0
41,426142094,55,1,1,0,0,1,0
42,433911630,91,384,18,0,0,1,0
43,443634439,1,671,69,0,0,1,0
44,454463901,31,202,55,0,0,1,0
45,464522132,16,836,97,1,0,1,0
46,472132210,69,751,15,0,0,1,0
47,481291276,96,325,79,0,0,1,0
48,492926590,92,345,66,2,0,1,0
49,502459940,18,819,32,0,0,1,0
50,513405316,39,778,91,0,0,1,0
51,524622586,56,414,93,0,0,1,0
52,536962153,41,345,59,0,0,1,0
53,546934342,1,651,68,3,1,1,0
54,559327022,36,232,98,2,0,1,0
55,569515152,18,403,23,1,0,1,0
56,577683386,53,624,71,1,0,1,0
57,589307885,35,253,98,2,0,1,0
58,601770025,88,913,81,0,0,1,0
59,610630853,65,680,99,0,0,1,0
60,622805204,32,915,7,0,0,1,0
61,634606958,6,882,85,1,0,1,0
62,643628659,21,229,50,0,0,1,0
63,654567277,53,225,20,3,1,1,0
64,666170299,29,959,96,0,0,1,0
65,678594506,68,658,3,0,0,1,0
66,688821929,34,16,43,1,0,1,0
67,697453494,91,372,5,0,0,1,0
68,707462573,98,348,45,1,0,1,0
69,719805184,52,190,84,0,0,1,0
70,729520351,31,322,17,2,0,1,0
71,739009524,24,569,66,0,0,1,0
72,747615058,45,154,1,0,0,1,0
73,755613921,89,38,92,1,0,1,0
74,764606706,41,920,23,2,0,1,0
75,776149493,12,684,19,0,0,1,0
76,784935618,64,399,13,0,0,1,0
77,793608240,75,91,97,2,0,1,0
78,801757390,65,853,50,0,0,1,0
79,813736515,24,313,57,0,0,1,0
80,822675048,85,782,53,0,0,1,0
81,832160636,59,571,4,0,0,1,0
82,844044347,67,883,93,2,0,1,0
83,854923916,46,635,29,0,0,1,0
84,863847202,18,345,89,1,0,1,0
85,874189194,61,907,0,2,0,1,0
86,885752152,57,801,95,3,1,1,0
87,897634084,47,884,0,0,0,1,0
88,908833475,15,446,68,0,0,1,0
89,919946085,21,75,25,1,0,1,0
90,931844250,15,696,28,0,0,1,0
91,941092264,77,93,61,0,0,1,0
92,949356385,68,473,47,0,0,1,0
93,957964062,84,356,22,0,0,1,0
