seq,timestamp_ns,user_id,item_id,category_id,behavior_code,amount,label,label_valid,is_burst_period
0,1493596800000000000,0,0,0,0,149.62,0,1,0
1,1493596800000000000,0,0,0,0,2.69,0,1,0
2,1493596801000000000,0,0,0,0,378.66,0,1,0
3,1493596801000000000,0,0,0,0,123.5,0,1,0
4,1493596802000000000,0,0,0,0,69.99,0,1,0
5,1493596802000000000,0,0,0,0,3.67,0,1,0
6,1493596804000000000,0,0,0,0,4.99,0,1,0
7,1493596807000000000,0,0,0,0,40.8,0,1,0
8,1493596807000000000,0,0,0,0,93.2,0,1,0
9,1493596809000000000,0,0,0,0,3.68,0,1,0
10,1493596810000000000,0,0,0,0,7.8,0,1,0
11,1493596810000000000,0,0,0,0,9.99,0,1,0
12,1493596810000000000,0,0,0,0,121.5,0,1,0
13,1493596811000000000,0,0,0,0,27.5,0,1,0
14,1493596812000000000,0,0,0,0,15.99,0,1,0
15,1493596812000000000,0,0,0,0,12.99,0,1,0
16,1493596812000000000,0,0,0,0,58.8,0,1,0
17,1493596813000000000,0,0,0,0,0.89,0,1,0
18,1493596814000000000,0,0,0,0,46.8,0,1,0
19,1493596815000000000,0,0,0,0,5.0,0,1,0
20,1493596816000000000,0,0,0,0,231.71,0,1,0
21,1493596817000000000,0,0,0,0,34.09,0,1,0
22,1493596818000000000,0,0,0,0,2.28,0,1,0
23,1493596818000000000,0,0,0,0,22.75,0,1,0
24,1493596822000000000,0,0,0,0,0.89,0,1,0
25,1493596822000000000,0,0,0,0,26.43,0,1,0
26,1493596823000000000,0,0,0,0,41.88,0,1,0
27,1493596823000000000,0,0,0,0,16.0,0,1,0
28,1493596823000000000,0,0,0,0,33.0,0,1,0
29,1493596823000000000,0,0,0,0,12.99,0,1,0
30,1493596824000000000,0,0,0,0,17.28,0,1,0
31,1493596825000000000,0,0,0,0,4.45,0,1,0
32,1493596826000000000,0,0,0,0,1.77,0,1,0
33,1493596826000000000,0,0,0,0,1.77,0,1,0
34,1493596826000000000,0,0,0,0,6.14,0,1,0
35,1493596826000000000,0,0,0,0,6.14,0,1,0
36,1493596827000000000,0,0,0,0,30.49,0,1,0
37,1493596827000000000,0,0,0,0,1.8,0,1,0
38,1493596829000000000,0,0,0,0,20.53,0,1,0
39,1493596829000000000,0,0,0,0,6.54,0,1,0
