arch,seed,events,wall_time_ms,direction_changes,final_w,final_alpha
fixed,0,980885,3007.60,0,0,0.00
drift,0,980885,3011.38,1,0,0.00
throttle,0,980885,4008.66,0,0,0.00
aonly,0,980885,3009.15,2,256,0.02
bonly,0,980885,3012.83,0,128,0.30
adaptive,0,980885,3012.61,3,8,0.30
ralf,0,980885,2010.88,0,0,0.00
fixed,1,980885,3014.51,0,0,0.00
drift,1,980885,4011.01,1,0,0.00
throttle,1,980885,4011.01,0,0,0.00
aonly,1,980885,3011.92,10,256,0.02
bonly,1,980885,3011.52,0,128,0.30
adaptive,1,980885,3016.12,13,8,0.30
ralf,1,980885,2014.14,0,0,0.00
fixed,2,980885,4017.21,0,0,0.00
drift,2,980885,4010.41,1,0,0.00
throttle,2,980885,4011.45,0,0,0.00
aonly,2,980885,3013.64,5,8,0.02
bonly,2,980885,4015.15,0,128,0.30
adaptive,2,980885,3014.06,7,8,0.29
ralf,2,980885,2009.00,0,0,0.00
