arch,seed,events,wall_time_ms,direction_changes,final_w,final_alpha
fixed,0,980885,8013.11,0,0,0.00
drift,0,980885,8014.24,311,0,0.00
throttle,0,980885,8008.14,0,0,0.00
aonly,0,980885,9017.89,4,256,0.02
bonly,0,980885,8015.96,0,128,0.30
adaptive,0,980885,13011.59,13,8,0.29
ralf,0,980885,16026.23,0,0,0.00
fixed,1,980885,42026.37,0,0,0.00
drift,1,980885,16022.22,311,0,0.00
throttle,1,980885,78083.93,0,0,0.00
aonly,1,980885,14015.30,13,8,0.02
bonly,1,980885,9026.95,0,128,0.30
adaptive,1,980885,8008.87,2,256,0.29
ralf,1,980885,11022.77,0,0,0.00
fixed,2,980885,10020.66,0,0,0.00
drift,2,980885,9014.30,311,0,0.00
throttle,2,980885,8010.60,0,0,0.00
aonly,2,980885,9025.44,2,256,0.02
bonly,2,980885,12009.60,0,128,0.30
adaptive,2,980885,9016.49,3,8,0.29
ralf,2,980885,13012.08,0,0,0.00
