seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257548725404500,1848709,0,1,0,1,256,0.02,0,0,0
1,257548725412416,1855834,0,1,0,1,256,0.02,0,0,0
2,257548725413958,1857375,0,1,0,1,256,0.02,1,0,0
3,257548725415458,1858917,0,1,0,1,256,0.02,0,0,0
4,257548725416916,1860292,0,1,0,1,256,0.02,1,0,0
5,257548725418333,1861709,0,1,0,1,256,0.02,0,0,0
6,257548725419750,1863084,0,1,0,1,256,0.02,2,0,0
7,257548725421208,1864542,0,1,0,1,256,0.02,3,0,0
8,257548725422625,1866042,0,1,0,1,256,0.02,0,0,0
9,257548725424000,1867375,0,1,0,1,256,0.02,2,0,0
10,257548725425416,1868792,0,1,0,1,256,0.02,1,0,0
11,257548725426791,1870167,0,1,0,1,256,0.02,0,0,0
12,257548725428125,1871500,0,1,0,1,256,0.02,0,0,0
13,257548725429500,1872875,0,1,0,1,256,0.02,1,0,0
14,257548725430833,1874209,0,1,0,1,256,0.02,1,0,0
15,257548725432166,1875542,0,1,0,1,256,0.02,0,0,0
16,257548725433541,1876917,0,1,0,1,256,0.02,0,0,0
17,257548725434958,1878334,0,1,0,1,256,0.02,1,0,0
18,257548725436291,1879667,0,1,0,1,256,0.02,1,0,0
19,257548725437666,1881042,0,1,0,1,256,0.02,1,0,0
20,257548725439041,1882417,0,1,0,1,256,0.02,1,0,0
21,257548725440375,1883750,0,1,0,1,256,0.02,1,0,0
22,257548725441708,1885084,0,1,0,1,256,0.02,1,0,0
23,257548725443125,1886500,0,1,0,1,256,0.02,0,0,0
24,257548725444541,1887875,0,1,0,1,256,0.02,4,0,0
25,257548725445875,1889250,0,1,0,1,256,0.02,0,0,0
26,257548725447375,1890709,0,1,0,1,256,0.02,1,0,0
27,257548725448750,1892250,0,1,0,1,256,0.02,0,0,0
28,257548725450291,1893667,0,1,0,1,256,0.02,0,0,0
29,257548725451625,1894959,0,1,0,1,256,0.02,0,0,0
30,257548725453000,1896375,0,1,0,1,256,0.02,1,0,0
31,257548725454333,1897709,0,1,0,1,256,0.02,1,0,0
32,257548725455750,1899167,0,1,0,1,256,0.02,1,0,0
33,257548725457166,1900500,0,1,0,1,256,0.02,0,0,0
34,257548725458500,1901834,0,1,0,1,256,0.02,0,0,0
35,257548725459833,1903250,0,1,0,1,256,0.02,0,0,0
36,257548725461250,1904625,0,1,0,1,256,0.02,1,0,0
37,257548725462625,1906042,0,1,0,1,256,0.02,0,0,0
38,257548725464000,1907375,0,1,0,1,256,0.02,2,0,0
39,257548725465375,1908750,0,1,0,1,256,0.02,0,0,0
40,257548725466750,1910125,0,1,0,1,256,0.02,3,0,0
41,257548725468083,1911459,0,1,0,1,256,0.02,0,0,0
42,257548725469541,1912917,0,1,0,1,256,0.02,1,0,0
43,257548725470958,1914334,0,1,0,1,256,0.02,0,0,0
44,257548725472375,1915750,0,1,0,1,256,0.02,1,0,0
45,257548725473708,1917084,0,1,0,1,256,0.02,0,0,0
46,257548725475041,1918417,0,1,0,1,256,0.02,0,0,0
47,257548725476375,1919750,0,1,0,1,256,0.02,0,0,0
48,257548725477750,1921125,0,1,0,1,256,0.02,1,0,0
49,257548725479166,1922542,0,1,0,1,256,0.02,0,0,0
50,257548725517583,1961667,0,1,0,1,256,0.02,0,0,0
51,257548725520583,1964000,0,1,0,1,256,0.02,1,0,0
52,257548725522166,1965584,0,1,0,1,256,0.02,0,0,0
53,257548725526958,1970375,0,1,0,1,256,0.02,0,0,0
54,257548725528416,1971792,0,1,0,1,256,0.02,1,0,0
55,257548725529875,1973292,0,1,0,1,256,0.02,1,0,0
56,257548725531333,1974709,0,1,0,1,256,0.02,1,0,0
57,257548725532708,1976084,0,1,0,1,256,0.02,0,0,0
58,257548725534083,1977459,0,1,0,1,256,0.02,1,0,0
59,257548725535458,1978875,0,1,0,1,256,0.02,1,0,0
60,257548725536958,1980334,0,1,0,1,256,0.02,0,0,0
61,257548725551375,1994875,0,1,0,1,256,0.02,0,0,0
62,257548725553041,1996417,0,1,0,1,256,0.02,0,0,0
63,257548725554458,1997834,0,1,0,1,256,0.02,1,0,0
64,257548725555791,1999167,0,1,0,1,256,0.02,0,0,0
65,257548725573666,2017084,0,1,0,1,256,0.02,2,0,0
66,257548725575125,2018500,0,1,0,1,256,0.02,0,0,0
67,257548725576541,2019917,0,1,0,1,256,0.02,0,0,0
68,257548725579708,2023084,0,1,0,1,256,0.02,0,0,0
69,257548725581083,2024459,0,1,0,1,256,0.02,2,0,0
70,257548725582458,2025834,0,1,0,1,256,0.02,0,0,0
71,257548725583875,2027250,0,1,0,1,256,0.02,0,0,0
72,257548725585208,2028584,0,1,0,1,256,0.02,1,0,0
73,257548725586541,2029917,0,1,0,1,256,0.02,1,0,0
74,257548725587875,2031250,0,1,0,1,256,0.02,0,0,0
75,257548725589250,2032625,0,1,0,1,256,0.02,1,0,0
76,257548725590583,2033959,0,1,0,1,256,0.02,0,0,0
77,257548725591916,2035292,0,1,0,1,256,0.02,0,0,0
78,257548725616833,2060292,0,1,0,1,256,0.02,1,0,0
79,257548725660333,2172584,0,1,0,1,256,0.02,0,0,0
80,257548725731500,2174959,0,1,0,1,256,0.02,1,0,0
81,257548725733208,2225292,0,1,0,1,256,0.02,1,0,0
82,257548725959416,2402834,0,1,0,1,256,0.02,0,0,0
83,257548726004125,2447584,0,1,0,1,256,0.02,1,0,0
84,257548726023583,2467000,0,1,0,1,256,0.02,1,0,0
85,257548726025083,2468459,0,1,0,1,256,0.02,1,0,0
86,257548726026500,2469875,0,1,0,1,256,0.02,0,0,0
87,257548726027916,2471292,0,1,0,1,256,0.02,1,0,0
88,257548726045375,2488834,0,1,0,1,256,0.02,0,0,0
89,257548726047083,2490500,0,1,0,1,256,0.02,3,0,0
90,257548726048583,2491959,0,1,0,1,256,0.02,0,0,0
91,257548726049958,2493334,0,1,0,1,256,0.02,1,0,0
92,257548726064125,2507500,0,1,0,1,256,0.02,0,0,0
93,257548726065625,2509000,0,1,0,1,256,0.02,2,0,0
94,257548726136916,2580417,0,1,0,1,256,0.02,2,0,0
95,257548726138583,2581959,0,1,0,1,256,0.02,0,0,0
96,257548726140000,2583375,0,1,0,1,256,0.02,0,0,0
97,257548726160041,2603500,0,1,0,1,256,0.02,3,0,0
98,257548726161750,2605125,0,1,0,1,256,0.02,0,0,0
99,257548726163208,2606625,0,1,0,1,256,0.02,1,0,0
100,257548726164666,2608042,0,1,0,1,256,0.02,0,0,0
101,257548726166125,2609584,0,1,0,1,256,0.02,0,0,0
102,257548726167625,2611000,0,1,0,1,256,0.02,1,0,0
103,257548726172583,2615959,0,1,0,1,256,0.02,0,0,0
104,257548726174041,2617417,0,1,0,1,256,0.02,0,0,0
105,257548726411916,2855375,0,1,0,1,256,0.02,0,0,0
106,257548726413458,2856834,0,1,0,1,256,0.02,1,0,0
107,257548726414833,2858209,0,1,0,1,256,0.02,1,0,0
108,257548726416291,2859709,0,1,0,1,256,0.02,2,0,0
109,257548726417708,2886417,0,1,0,1,256,0.02,0,0,0
110,257548726444791,2888167,0,1,0,1,256,0.02,0,0,0
111,257548726446166,2889542,0,1,0,1,256,0.02,0,0,0
112,257548726447583,2890959,0,1,0,1,256,0.02,1,0,0
