seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257524640709375,46083,0,1,0,1,128,0.02,0,0,0
1,257524640716541,52167,0,1,0,1,128,0.02,0,0,0
2,257524640718125,53708,0,1,0,1,128,0.02,1,0,0
3,257524640719666,55208,0,1,0,1,128,0.02,0,0,0
4,257524640721041,56625,0,1,0,1,128,0.02,1,0,0
5,257524641692916,1028667,0,1,0,1,128,0.02,0,0,0
6,257524641694708,1030333,0,1,0,1,128,0.02,2,0,0
7,257524641696208,1031792,0,1,0,1,128,0.02,3,0,0
8,257524641728125,1063792,0,1,0,1,128,0.02,0,0,0
9,257524641729916,1065542,0,1,0,1,128,0.02,2,0,0
10,257524641731458,1067083,0,1,0,1,128,0.02,1,0,0
11,257524641732916,1068542,0,1,0,1,128,0.02,0,0,0
12,257524641734333,1069917,0,1,0,1,128,0.02,0,0,0
13,257524641735750,1071333,0,1,0,1,128,0.02,1,0,0
14,257524641737125,1072708,0,1,0,1,128,0.02,1,0,0
15,257524641738541,1074167,0,1,0,1,128,0.02,0,0,0
16,257524641740000,1075583,0,1,0,1,128,0.02,0,0,0
17,257524641807500,1143333,0,1,0,1,128,0.02,1,0,0
18,257524641809833,1145417,0,1,0,1,128,0.02,1,0,0
19,257524641811333,1146917,0,1,0,1,128,0.02,1,0,0
20,257524641815583,1151167,0,1,0,1,128,0.02,1,0,0
21,257524641817041,1152625,0,1,0,1,128,0.02,1,0,0
22,257524641818416,1154000,0,1,0,1,128,0.02,1,0,0
23,257524641819875,1155458,0,1,0,1,128,0.02,0,0,0
24,257524641821250,1156833,0,1,0,1,128,0.02,4,0,0
25,257524641822625,1158208,0,1,0,1,128,0.02,0,0,0
26,257524641824041,1159583,0,1,0,1,128,0.02,1,0,0
27,257524641825458,1161042,0,1,0,1,128,0.02,0,0,0
28,257524641826875,1162458,0,1,0,1,128,0.02,0,0,0
29,257524641828291,1163875,0,1,0,1,128,0.02,0,0,0
30,257524641829708,1165292,0,1,0,1,128,0.02,1,0,0
31,257524641831333,1166917,0,1,0,1,128,0.02,1,0,0
32,257524641832791,1168375,0,1,0,1,128,0.02,1,0,0
33,257524641834250,1169833,0,1,0,1,128,0.02,0,0,0
34,257524641835666,1171250,0,1,0,1,128,0.02,0,0,0
35,257524641837083,1172667,0,1,0,1,128,0.02,0,0,0
36,257524641838458,1174042,0,1,0,1,128,0.02,1,0,0
37,257524641839916,1175458,0,1,0,1,128,0.02,0,0,0
38,257524641841291,1176875,0,1,0,1,128,0.02,2,0,0
39,257524641842708,1178292,0,1,0,1,128,0.02,0,0,0
40,257524641844125,1179708,0,1,0,1,128,0.02,3,0,0
41,257524641845541,1181125,0,1,0,1,128,0.02,0,0,0
42,257524641846916,1182500,0,1,0,1,128,0.02,1,0,0
43,257524641848333,1183917,0,1,0,1,128,0.02,0,0,0
44,257524641849791,1185375,0,1,0,1,128,0.02,1,0,0
45,257524641851208,1186792,0,1,0,1,128,0.02,0,0,0
46,257524641852583,1188167,0,1,0,1,128,0.02,0,0,0
47,257524641853958,1189500,0,1,0,1,128,0.02,0,0,0
48,257524641855291,1190958,0,1,0,1,128,0.02,1,0,0
49,257524641856791,1192375,0,1,0,1,128,0.02,0,0,0
50,257524641858166,1193750,0,1,0,1,128,0.02,0,0,0
51,257524641859541,1195125,0,1,0,1,128,0.02,1,0,0
52,257524641860958,1196542,0,1,0,1,128,0.02,0,0,0
53,257524641862291,1197875,0,1,0,1,128,0.02,0,0,0
54,257524641863708,1199292,0,1,0,1,128,0.02,1,0,0
55,257524641865083,1200708,0,1,0,1,128,0.02,1,0,0
56,257524641866541,1202125,0,1,0,1,128,0.02,1,0,0
57,257524641867958,1203542,0,1,0,1,128,0.02,0,0,0
58,257524641869291,1204875,0,1,0,1,128,0.02,1,0,0
59,257524641870750,1206333,0,1,0,1,128,0.02,1,0,0
60,257524641872166,1207750,0,1,0,1,128,0.02,0,0,0
61,257524641873583,1209125,0,1,0,1,128,0.02,0,0,0
62,257524641874958,1210542,0,1,0,1,128,0.02,0,0,0
63,257524641876375,1211958,0,1,0,1,128,0.02,1,0,0
64,257524641877958,1213542,0,1,0,1,128,0.02,0,0,0
65,257524641879458,1215000,0,1,0,1,128,0.02,2,0,0
66,257524641880875,1216458,0,1,0,1,128,0.02,0,0,0
67,257524641882250,1217833,0,1,0,1,128,0.02,0,0,0
68,257524641883666,1219250,0,1,0,1,128,0.02,0,0,0
69,257524641885041,1220625,0,1,0,1,128,0.02,2,0,0
70,257524641886500,1222083,0,1,0,1,128,0.02,0,0,0
71,257524641887916,1223500,0,1,0,1,128,0.02,0,0,0
72,257524641889333,1224917,0,1,0,1,128,0.02,1,0,0
73,257524641890708,1226292,0,1,0,1,128,0.02,1,0,0
74,257524641892083,1227667,0,1,0,1,128,0.02,0,0,0
75,257524641893458,1229042,0,1,0,1,128,0.02,1,0,0
76,257524641894875,1230542,0,1,0,1,128,0.02,0,0,0
77,257524641896333,1231917,0,1,0,1,128,0.02,0,0,0
78,257524641897708,1233292,0,1,0,1,128,0.02,1,0,0
79,257524641922916,1258583,0,1,0,1,128,0.02,0,0,0
80,257524641954208,1289875,0,1,0,1,128,0.02,1,0,0
81,257524641955875,1291542,0,1,0,1,128,0.02,1,0,0
82,257524641957500,1293042,0,1,0,1,128,0.02,0,0,0
83,257524641958875,1294458,0,1,0,1,128,0.02,1,0,0
84,257524641960250,1295917,0,1,0,1,128,0.02,1,0,0
85,257524641961916,1297500,0,1,0,1,128,0.02,1,0,0
86,257524641963375,1298917,0,1,0,1,128,0.02,0,0,0
87,257524641964708,1300292,0,1,0,1,128,0.02,1,0,0
88,257524641966166,1301792,0,1,0,1,128,0.02,0,0,0
89,257524641967583,1303167,0,1,0,1,128,0.02,3,0,0
90,257524641969000,1304583,0,1,0,1,128,0.02,0,0,0
91,257524641970458,1306042,0,1,0,1,128,0.02,1,0,0
92,257524641971833,1307417,0,1,0,1,128,0.02,0,0,0
93,257524641973208,1308750,0,1,0,1,128,0.02,2,0,0
94,257524641974625,1310250,0,1,0,1,128,0.02,2,0,0
95,257524641976041,1311625,0,1,0,1,128,0.02,0,0,0
96,257524641977416,1313000,0,1,0,1,128,0.02,0,0,0
97,257524641978833,1314417,0,1,0,1,128,0.02,3,0,0
98,257524641980291,1315875,0,1,0,1,128,0.02,0,0,0
99,257524641981750,1317292,0,1,0,1,128,0.02,1,0,0
100,257524641983125,1318708,0,1,0,1,128,0.02,0,0,0
101,257524641984833,1320417,0,1,0,1,128,0.02,0,0,0
102,257524641986250,1321833,0,1,0,1,128,0.02,1,0,0
103,257524641987625,1323208,0,1,0,1,128,0.02,0,0,0
104,257524641989000,1324583,0,1,0,1,128,0.02,0,0,0
105,257524641990333,1325917,0,1,0,1,128,0.02,0,0,0
106,257524641991666,1327250,0,1,0,1,128,0.02,1,0,0
107,257524641993041,1328625,0,1,0,1,128,0.02,1,0,0
108,257524641994458,1330042,0,1,0,1,128,0.02,2,0,0
109,257524641995875,1331458,0,1,0,1,128,0.02,0,0,0
110,257524641997250,1332792,0,1,0,1,128,0.02,0,0,0
111,257524641998625,1334208,0,1,0,1,128,0.02,0,0,0
112,257524641999958,1335542,0,1,0,1,128,0.02,1,0,0
113,257524642001541,1337125,0,1,0,1,128,0.02,0,0,0
114,257524642002958,1338500,0,1,0,1,128,0.02,0,0,0
115,257524642004291,1339875,0,1,0,1,128,0.02,0,0,0
116,257524642005708,1341292,0,1,0,1,128,0.02,1,0,0
117,257524642007041,1342625,0,1,0,1,128,0.02,1,0,0
118,257524642008416,1344000,0,1,0,1,128,0.02,0,0,0
119,257524642009833,1345417,0,1,0,1,128,0.02,1,0,0
120,257524642011250,1346792,0,1,0,1,128,0.02,0,0,0
121,257524642012583,1348167,0,1,0,1,128,0.02,0,0,0
122,257524642013916,1349500,0,1,0,1,128,0.02,1,0,0
123,257524642015333,1350917,0,1,0,1,128,0.02,0,0,0
124,257524642016750,1352333,0,1,0,1,128,0.02,0,0,0
125,257524642018083,1353667,0,1,0,1,128,0.02,0,0,0
126,257524642019500,1355042,0,1,0,1,128,0.02,1,0,0
127,257524642020916,1356458,0,1,0,1,128,0.02,1,0,0
128,257524642022250,1343666,0,1,0,1,128,0.02,0,0,0
129,257524642023916,1345333,0,1,0,1,128,0.02,1,0,0
130,257524642025625,1347041,0,1,0,1,128,0.02,1,0,0
131,257524642027125,1348541,0,1,0,1,128,0.02,0,0,0
132,257524642028541,1349958,0,1,0,1,128,0.02,1,0,0
