seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257507576321125,287792,0,1,0,1,179,0.1,0,0,0
1,257507576484375,500792,0,1,0,1,179,0.1,0,0,0
2,257507576537791,503334,0,1,0,1,179,0.1,1,0,0
3,257507576539375,520834,0,1,0,1,179,0.1,0,0,0
4,257507576557250,522792,0,1,0,1,179,0.1,1,0,0
5,257507576558666,524167,0,1,0,1,179,0.1,0,0,0
6,257507576560125,525625,0,1,0,1,179,0.1,2,0,0
7,257507576710875,676500,0,1,0,1,179,0.1,3,0,0
8,257507576712666,678209,0,1,0,1,179,0.1,0,0,0
9,257507576714208,1013959,0,1,0,1,179,0.1,2,0,0
10,257507577397583,1363209,0,1,0,1,179,0.1,1,0,0
11,257507577399333,1364875,0,1,0,1,179,0.1,0,0,0
12,257507577577750,1543375,0,1,0,1,179,0.1,0,0,0
13,257507577618208,1583959,0,1,0,1,179,0.1,1,0,0
14,257507577635791,1601375,0,1,0,1,179,0.1,1,0,0
15,257507577637375,1602917,0,1,0,1,179,0.1,0,0,0
16,257507577638791,1604292,0,1,0,1,179,0.1,0,0,0
17,257507577640125,1605625,0,1,0,1,179,0.1,1,0,0
18,257507577641541,1607042,0,1,0,1,179,0.1,1,0,0
19,257507577798416,1764042,0,1,0,1,179,0.1,1,0,0
20,257507577818875,1784417,0,1,0,1,179,0.1,1,0,0
21,257507577824250,1789792,0,1,0,1,179,0.1,1,0,0
22,257507577846208,1811750,0,1,0,1,179,0.1,1,0,0
23,257507577847708,1813209,0,1,0,1,179,0.1,0,0,0
24,257507577849083,1814584,0,1,0,1,179,0.1,4,0,0
25,257507577853416,1818917,0,1,0,1,179,0.1,0,0,0
26,257507577854833,1820334,0,1,0,1,179,0.1,1,0,0
27,257507577856208,1821709,0,1,0,1,179,0.1,0,0,0
28,257507577857541,1823042,0,1,0,1,179,0.1,0,0,0
29,257507577858958,1837500,0,1,0,1,179,0.1,0,0,0
30,257507578522000,2567542,0,1,0,1,179,0.1,1,0,0
31,257507579054708,3020292,0,1,0,1,179,0.1,1,0,0
32,257507579056250,3121167,0,1,0,1,179,0.1,1,0,0
33,257507579157708,3123209,0,1,0,1,179,0.1,0,0,0
34,257507579973208,3938834,0,1,0,1,179,0.1,0,0,0
35,257507579974916,3940459,0,1,0,1,179,0.1,0,0,0
36,257507579976375,3941875,0,1,0,1,179,0.1,1,0,0
37,257507579977750,3943250,0,1,0,1,179,0.1,0,0,0
38,257507579979125,3944625,0,1,0,1,179,0.1,2,0,0
39,257507580329333,4294959,0,1,0,1,179,0.1,0,0,0
40,257507581738958,5832042,0,1,0,1,179,0.1,3,0,0
41,257507583146833,7112417,0,1,0,1,179,0.1,0,0,0
42,257507583148583,7114084,0,1,0,1,179,0.1,1,0,0
43,257507583150041,7115542,0,1,0,1,179,0.1,0,0,0
44,257507583151416,7116917,0,1,0,1,179,0.1,1,0,0
45,257507583502208,7615334,0,1,0,1,179,0.1,0,0,0
46,257507583692291,7657917,0,1,0,1,179,0.1,0,0,0
47,257507584392041,8405000,0,1,0,1,179,0.1,0,0,0
48,257507584459458,8425000,0,1,0,1,179,0.1,1,0,0
49,257507584658750,8624334,0,1,0,1,179,0.1,0,0,0
50,257507585845708,9811292,0,1,0,1,179,0.1,0,0,0
51,257507585964333,9929917,0,1,0,1,179,0.1,1,0,0
52,257507585965916,9931459,0,1,0,1,179,0.1,0,0,0
53,257507586522791,10488375,0,1,0,1,179,0.1,0,0,0
54,257507588175416,12141584,0,1,0,1,179,0.1,1,0,0
55,257507588881375,12846959,0,1,0,1,179,0.1,1,0,0
56,257507589062083,13027625,0,1,0,1,179,0.1,1,0,0
57,257507589119750,13085334,0,1,0,1,179,0.1,0,0,0
58,257507589121291,13086792,0,1,0,1,179,0.1,1,0,0
59,257507589207083,13173042,0,1,0,1,179,0.1,1,0,0
60,257507589209833,13175375,0,1,0,1,179,0.1,0,0,0
61,257507589316291,13281875,0,1,0,1,179,0.1,0,0,0
62,257507589446125,13411667,0,1,0,1,179,0.1,0,0,0
63,257507589691500,13657084,0,1,0,1,179,0.1,1,0,0
64,257507589710166,13675667,0,1,0,1,179,0.1,0,0,0
65,257507589711583,13677084,0,1,0,1,179,0.1,2,0,0
66,257507589712958,13678459,0,1,0,1,179,0.1,0,0,0
67,257507589714375,13679875,0,1,0,1,179,0.1,0,0,0
68,257507589715791,13681334,0,1,0,1,179,0.1,0,0,0
69,257507589775250,13740834,0,1,0,1,179,0.1,2,0,0
70,257507589948125,14401084,0,1,0,1,179,0.1,0,0,0
71,257507590861125,14826750,0,1,0,1,179,0.1,0,0,0
72,257507590863125,14828667,0,1,0,1,179,0.1,1,0,0
73,257507590864583,14830167,0,1,0,1,179,0.1,1,0,0
74,257507590866083,14831584,0,1,0,1,179,0.1,0,0,0
75,257507590867458,15495625,0,1,0,1,179,0.1,1,0,0
76,257507592144541,16312167,0,1,0,1,179,0.1,0,0,0
77,257507592405750,16371417,0,1,0,1,179,0.1,0,0,0
78,257507592407791,16373334,0,1,0,1,179,0.1,1,0,0
79,257507592751583,16717125,0,1,0,1,179,0.1,0,0,0
80,257507594135750,18101334,0,1,0,1,179,0.1,1,0,0
81,257507594564208,18601959,0,1,0,1,179,0.1,1,0,0
82,257507594732875,18698542,0,1,0,1,179,0.1,0,0,0
83,257507595334000,19299542,0,1,0,1,179,0.1,1,0,0
84,257507595628708,19994625,0,1,0,1,179,0.1,1,0,0
85,257507598294125,22260125,0,1,0,1,179,0.1,1,0,0
86,257507599212875,23178500,0,1,0,1,179,0.1,0,0,0
87,257507599214583,23180125,0,1,0,1,179,0.1,1,0,0
88,257507599216041,23181542,0,1,0,1,179,0.1,0,0,0
89,257507599217458,23183042,0,1,0,1,179,0.1,3,0,0
90,257507599218916,23184417,0,1,0,1,179,0.1,0,0,0
91,257507599220416,23185959,0,1,0,1,179,0.1,1,0,0
92,257507599221875,23187417,0,1,0,1,179,0.1,0,0,0
93,257507599223250,23188792,0,1,0,1,179,0.1,2,0,0
94,257507599224708,23190209,0,1,0,1,179,0.1,2,0,0
95,257507599226125,23191625,0,1,0,1,179,0.1,0,0,0
96,257507599227541,23193042,0,1,0,1,179,0.1,0,0,0
97,257507599229041,23194584,0,1,0,1,179,0.1,3,0,0
98,257507599230666,23196167,0,1,0,1,179,0.1,0,0,0
99,257507599232041,23197542,0,1,0,1,179,0.1,1,0,0
100,257507599233416,23198959,0,1,0,1,179,0.1,0,0,0
101,257507599234750,23200334,0,1,0,1,179,0.1,0,0,0
102,257507599236125,23201625,0,1,0,1,179,0.1,1,0,0
103,257507599237541,23203042,0,1,0,1,179,0.1,0,0,0
104,257507599238833,23204334,0,1,0,1,179,0.1,0,0,0
105,257507599240208,23205750,0,1,0,1,179,0.1,0,0,0
106,257507599241625,23207125,0,1,0,1,179,0.1,1,0,0
107,257507599242958,23208459,0,1,0,1,179,0.1,1,0,0
108,257507599244333,23209834,0,1,0,1,179,0.1,2,0,0
109,257507599245750,23211250,0,1,0,1,179,0.1,0,0,0
110,257507599247083,23212584,0,1,0,1,179,0.1,0,0,0
111,257507599248375,23213917,0,1,0,1,179,0.1,0,0,0
112,257507599249833,23215292,0,1,0,1,179,0.1,1,0,0
113,257507599251208,23216709,0,1,0,1,179,0.1,0,0,0
114,257507599252583,23218084,0,1,0,1,179,0.1,0,0,0
115,257507599253958,23219459,0,1,0,1,179,0.1,0,0,0
116,257507599255250,23220750,0,1,0,1,179,0.1,1,0,0
117,257507599256625,23222125,0,1,0,1,179,0.1,1,0,0
118,257507599257958,23223459,0,1,0,1,179,0.1,0,0,0
119,257507599259333,23224834,0,1,0,1,179,0.1,1,0,0
