seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
255,257531751918500,95128500,0,1,0,1,1,0.1,0,0,0
256,257531751931333,95136958,0,1,0,1,1,0.1,0,0,0
257,257531751933041,95138625,0,1,0,1,1,0.1,0,0,0
258,257531751934583,95140125,0,1,0,1,1,0.1,0,0,0
259,257531751936000,95141541,0,1,0,1,1,0.1,0,0,0
260,257531751937458,95143000,0,1,0,1,1,0.1,0,0,0
261,257531751938791,95144333,0,1,0,1,1,0.1,0,0,0
262,257531751940208,95145750,0,1,0,1,1,0.1,0,0,0
263,257531751941583,95147125,0,1,0,1,1,0.1,0,0,0
264,257531751942958,95148541,0,1,0,1,1,0.1,0,0,0
265,257531751944416,95149958,0,1,0,1,1,0.1,0,0,0
266,257531751945750,95151291,0,1,0,1,1,0.1,0,0,0
267,257531751947166,95152708,0,1,0,1,1,0.1,0,0,0
268,257531751948541,95154083,0,1,0,1,1,0.1,0,0,0
269,257531751949958,95155500,0,1,0,1,1,0.1,0,0,0
270,257531751969708,95175541,0,1,0,1,1,0.1,0,0,0
271,257531751972791,95178375,0,1,0,1,1,0.1,0,0,0
272,257531751977750,95183291,0,1,0,1,1,0.1,0,0,0
273,257531751979250,95184791,0,1,0,1,1,0.1,0,0,0
274,257531751980666,95186208,0,1,0,1,1,0.1,0,0,0
275,257531751982000,95187541,0,1,0,1,1,0.1,0,0,0
276,257531751983333,95188833,0,1,0,1,1,0.1,0,0,0
277,257531751984666,95190208,0,1,0,1,1,0.1,0,0,0
278,257531751986000,95191541,0,1,0,1,1,0.1,0,0,0
279,257531751987333,95192833,0,1,0,1,1,0.1,0,0,0
280,257531751988708,95194250,0,1,0,1,1,0.1,0,0,0
281,257531751990000,95195541,0,1,0,1,1,0.1,0,0,0
282,257531751991333,95196875,0,1,0,1,1,0.1,0,0,0
283,257531751992666,95198208,0,1,0,1,1,0.1,0,0,0
284,257531751994000,95199541,0,1,0,1,1,0.1,0,0,0
285,257531751995375,95200875,0,1,0,1,1,0.1,0,0,0
286,257531751996666,95202166,0,1,0,1,1,0.1,0,0,0
287,257531751997958,95203500,0,1,0,1,1,0.1,0,0,0
288,257531751999250,95204791,0,1,0,1,1,0.1,0,0,0
