seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257478480502625,9064375,0,1,0,1,128,0.1,0,0,0
1,257478480512083,9072291,0,1,0,1,128,0.1,0,0,0
2,257478480513708,9073875,0,1,0,1,128,0.1,1,0,0
3,257478480515250,9075458,0,1,0,1,128,0.1,0,0,0
4,257478480516708,9076875,0,1,0,1,128,0.1,1,0,0
5,257478480518291,9078458,0,1,0,1,128,0.1,0,0,0
6,257478480519875,9080083,0,1,0,1,128,0.1,2,0,0
7,257478480521250,9081416,0,1,0,1,128,0.1,3,0,0
8,257478480522666,9082875,0,1,0,1,128,0.1,0,0,0
9,257478480524041,9084208,0,1,0,1,128,0.1,2,0,0
10,257478480525416,9085583,0,1,0,1,128,0.1,1,0,0
11,257478480526833,9086958,0,1,0,1,128,0.1,0,0,0
12,257478480528166,9088333,0,1,0,1,128,0.1,0,0,0
13,257478480529541,9089666,0,1,0,1,128,0.1,1,0,0
14,257478480530791,9090958,0,1,0,1,128,0.1,1,0,0
15,257478480532166,9092333,0,1,0,1,128,0.1,0,0,0
16,257478480533458,9093625,0,1,0,1,128,0.1,0,0,0
17,257478480534791,9095041,0,1,0,1,128,0.1,1,0,0
18,257478480536166,9096333,0,1,0,1,128,0.1,1,0,0
19,257478480537541,9097708,0,1,0,1,128,0.1,1,0,0
20,257478480539750,9099875,0,1,0,1,128,0.1,1,0,0
21,257478480541083,9101250,0,1,0,1,128,0.1,1,0,0
22,257478480542458,9102625,0,1,0,1,128,0.1,1,0,0
23,257478480543750,9103916,0,1,0,1,128,0.1,0,0,0
24,257478480545083,9105250,0,1,0,1,128,0.1,4,0,0
25,257478480546458,9106625,0,1,0,1,128,0.1,0,0,0
26,257478480547750,9107875,0,1,0,1,128,0.1,1,0,0
27,257478480549041,9109208,0,1,0,1,128,0.1,0,0,0
28,257478480550333,9110500,0,1,0,1,128,0.1,0,0,0
29,257478480551666,9111833,0,1,0,1,128,0.1,0,0,0
30,257478480553000,9113166,0,1,0,1,128,0.1,1,0,0
31,257478480718500,9278750,0,1,0,1,128,0.1,1,0,0
32,257478480720625,9280791,0,1,0,1,128,0.1,1,0,0
33,257478480722000,9282166,0,1,0,1,128,0.1,0,0,0
34,257478480724166,9284333,0,1,0,1,128,0.1,0,0,0
35,257478480725583,9285750,0,1,0,1,128,0.1,0,0,0
36,257478480726875,9287041,0,1,0,1,128,0.1,1,0,0
37,257478480728250,9288458,0,1,0,1,128,0.1,0,0,0
38,257478480729625,9289791,0,1,0,1,128,0.1,2,0,0
39,257478480834166,9394500,0,1,0,1,128,0.1,0,0,0
40,257478480836250,9396458,0,1,0,1,128,0.1,3,0,0
41,257478480837833,9398000,0,1,0,1,128,0.1,0,0,0
42,257478480839250,9399416,0,1,0,1,128,0.1,1,0,0
43,257478480843125,9403291,0,1,0,1,128,0.1,0,0,0
44,257478480844541,9404708,0,1,0,1,128,0.1,1,0,0
45,257478480845958,9406125,0,1,0,1,128,0.1,0,0,0
46,257478480870333,9430541,0,1,0,1,128,0.1,0,0,0
47,257478480871750,9431916,0,1,0,1,128,0.1,0,0,0
48,257478480873125,9433291,0,1,0,1,128,0.1,1,0,0
49,257478480874583,9434750,0,1,0,1,128,0.1,0,0,0
50,257478480876041,9436208,0,1,0,1,128,0.1,0,0,0
51,257478480877458,9437583,0,1,0,1,128,0.1,1,0,0
52,257478480878791,9439041,0,1,0,1,128,0.1,0,0,0
53,257478480880208,9440416,0,1,0,1,128,0.1,0,0,0
54,257478480881625,9441750,0,1,0,1,128,0.1,1,0,0
55,257478480883041,9443250,0,1,0,1,128,0.1,1,0,0
56,257478480884416,9444583,0,1,0,1,128,0.1,1,0,0
57,257478480885833,9446000,0,1,0,1,128,0.1,0,0,0
58,257478480887250,9447375,0,1,0,1,128,0.1,1,0,0
59,257478480888666,9448833,0,1,0,1,128,0.1,1,0,0
60,257478480890083,9450250,0,1,0,1,128,0.1,0,0,0
61,257478480891458,9451625,0,1,0,1,128,0.1,0,0,0
