arch,seed,events,wall_time_ms,direction_changes,final_w,final_alpha
fixed,0,980885,67063.56,0,0,0.00
drift,0,980885,68113.04,1,0,0.00
throttle,0,980885,66098.93,0,0,0.00
aonly,0,980885,63046.91,2,256,0.02
bonly,0,980885,63049.83,0,128,0.30
adaptive,0,980885,63047.21,2,256,0.30
ralf,0,980885,32051.44,0,0,0.00
fixed,1,980885,64064.61,0,0,0.00
drift,1,980885,64071.32,1,0,0.00
throttle,1,980885,64063.12,0,0,0.00
aonly,1,980885,64060.45,2,256,0.02
bonly,1,980885,63058.31,0,128,0.30
adaptive,1,980885,63060.41,2,256,0.30
ralf,1,980885,33035.06,0,0,0.00
fixed,2,980885,64081.67,0,0,0.00
drift,2,980885,64063.85,1,0,0.00
throttle,2,980885,64073.20,0,0,0.00
aonly,2,980885,66053.98,2,256,0.02
bonly,2,980885,64056.61,0,128,0.30
adaptive,2,980885,63065.61,2,256,0.30
ralf,2,980885,32034.53,0,0,0.00
