arch,seed,events,wall_time_ms,direction_changes,final_w,final_alpha
fixed,0,284807,6014.81,0,0,0.00
drift,0,284807,8017.80,409,0,0.00
throttle,0,284807,5012.85,0,0,0.00
aonly,0,284807,4021.86,37,8,0.02
bonly,0,284807,5007.04,0,128,0.30
adaptive,0,284807,6012.99,83,8,0.29
ralf,0,284807,4008.74,0,0,0.00
fixed,1,284807,5022.13,0,0,0.00
drift,1,284807,4021.45,409,0,0.00
throttle,1,284807,9024.39,0,0,0.00
aonly,1,284807,4006.85,39,8,0.02
bonly,1,284807,3016.97,0,128,0.30
adaptive,1,284807,4007.98,17,8,0.29
ralf,1,284807,3007.64,0,0,0.00
fixed,2,284807,4017.65,0,0,0.00
drift,2,284807,4015.55,409,0,0.00
throttle,2,284807,6012.72,0,0,0.00
aonly,2,284807,5017.60,17,8,0.02
bonly,2,284807,3011.19,0,128,0.30
adaptive,2,284807,3008.48,9,8,0.29
ralf,2,284807,4015.73,0,0,0.00
