seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257527646443083,558334,0,1,0,1,256,0.02,0,0,0
1,257527646448250,562750,0,1,0,1,256,0.02,0,0,0
2,257527646449916,564417,0,1,0,1,256,0.02,1,0,0
3,257527646451416,565959,0,1,0,1,256,0.02,0,0,0
4,257527646452916,567417,0,1,0,1,256,0.02,1,0,0
5,257527646454291,568792,0,1,0,1,256,0.02,0,0,0
6,257527646455708,570209,0,1,0,1,256,0.02,2,0,0
7,257527646457125,571667,0,1,0,1,256,0.02,3,0,0
8,257527646458541,573042,0,1,0,1,256,0.02,0,0,0
9,257527646459958,574500,0,1,0,1,256,0.02,2,0,0
10,257527646461375,575875,0,1,0,1,256,0.02,1,0,0
11,257527646462791,577292,0,1,0,1,256,0.02,0,0,0
12,257527646464125,578625,0,1,0,1,256,0.02,0,0,0
13,257527646465458,579959,0,1,0,1,256,0.02,1,0,0
14,257527646466791,581292,0,1,0,1,256,0.02,1,0,0
15,257527646468166,582667,0,1,0,1,256,0.02,0,0,0
16,257527646469541,584000,0,1,0,1,256,0.02,0,0,0
17,257527646470875,585375,0,1,0,1,256,0.02,1,0,0
18,257527646472208,586709,0,1,0,1,256,0.02,1,0,0
19,257527646473625,588084,0,1,0,1,256,0.02,1,0,0
20,257527646475000,589500,0,1,0,1,256,0.02,1,0,0
21,257527646476333,590792,0,1,0,1,256,0.02,1,0,0
22,257527646477708,592209,0,1,0,1,256,0.02,1,0,0
23,257527646479041,593542,0,1,0,1,256,0.02,0,0,0
24,257527646480416,594917,0,1,0,1,256,0.02,4,0,0
25,257527646481708,596209,0,1,0,1,256,0.02,0,0,0
26,257527646483125,597584,0,1,0,1,256,0.02,1,0,0
27,257527646484458,598959,0,1,0,1,256,0.02,0,0,0
28,257527646485791,600292,0,1,0,1,256,0.02,0,0,0
29,257527646487083,601584,0,1,0,1,256,0.02,0,0,0
30,257527646488375,602875,0,1,0,1,256,0.02,1,0,0
31,257527646489791,604334,0,1,0,1,256,0.02,1,0,0
32,257527646491125,605625,0,1,0,1,256,0.02,1,0,0
33,257527646492500,607000,0,1,0,1,256,0.02,0,0,0
34,257527646493875,608375,0,1,0,1,256,0.02,0,0,0
35,257527646495166,609667,0,1,0,1,256,0.02,0,0,0
36,257527646496500,611000,0,1,0,1,256,0.02,1,0,0
37,257527646497916,612375,0,1,0,1,256,0.02,0,0,0
38,257527646499208,613667,0,1,0,1,256,0.02,2,0,0
39,257527646500500,615000,0,1,0,1,256,0.02,0,0,0
40,257527646501875,616375,0,1,0,1,256,0.02,3,0,0
41,257527646503208,617750,0,1,0,1,256,0.02,0,0,0
42,257527646504625,619125,0,1,0,1,256,0.02,1,0,0
