seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257520624630083,1090792,0,1,0,1,256,0.02,0,0,0
1,257520624666750,1126625,0,1,0,1,256,0.02,0,0,0
2,257520624668375,1128208,0,1,0,1,256,0.02,1,0,0
3,257520624674083,1151917,0,1,0,1,256,0.02,0,0,0
4,257520624879708,1339667,0,1,0,1,256,0.02,1,0,0
5,257520624881583,1341458,0,1,0,1,256,0.02,0,0,0
6,257520624899625,1359500,0,1,0,1,256,0.02,2,0,0
7,257520624901208,1361042,0,1,0,1,256,0.02,3,0,0
8,257520625019875,1479750,0,1,0,1,256,0.02,0,0,0
9,257520625025791,1485625,0,1,0,1,256,0.02,2,0,0
10,257520625027333,1487292,0,1,0,1,256,0.02,1,0,0
11,257520625028958,1488792,0,1,0,1,256,0.02,0,0,0
12,257520625030416,1490208,0,1,0,1,256,0.02,0,0,0
13,257520625065541,1529083,0,1,0,1,256,0.02,1,0,0
14,257520625221083,1683500,0,1,0,1,256,0.02,1,0,0
15,257520625240916,1700833,0,1,0,1,256,0.02,0,0,0
16,257520625242833,1702667,0,1,0,1,256,0.02,0,0,0
17,257520625244375,1704208,0,1,0,1,256,0.02,1,0,0
18,257520625248625,1708458,0,1,0,1,256,0.02,1,0,0
19,257520625250041,1709875,0,1,0,1,256,0.02,1,0,0
20,257520625251541,1711458,0,1,0,1,256,0.02,1,0,0
21,257520625253125,1712958,0,1,0,1,256,0.02,1,0,0
22,257520625254541,1714375,0,1,0,1,256,0.02,1,0,0
23,257520625256000,1715833,0,1,0,1,256,0.02,0,0,0
24,257520625257416,1717250,0,1,0,1,256,0.02,4,0,0
25,257520625258833,1718667,0,1,0,1,256,0.02,0,0,0
26,257520625260125,1719958,0,1,0,1,256,0.02,1,0,0
27,257520625261541,1721333,0,1,0,1,256,0.02,0,0,0
28,257520625262916,1722750,0,1,0,1,256,0.02,0,0,0
29,257520625264291,1724125,0,1,0,1,256,0.02,0,0,0
30,257520625265666,1725500,0,1,0,1,256,0.02,1,0,0
31,257520625267000,1726833,0,1,0,1,256,0.02,1,0,0
32,257520625268416,1728250,0,1,0,1,256,0.02,1,0,0
33,257520625271958,1731792,0,1,0,1,256,0.02,0,0,0
34,257520625273375,1733208,0,1,0,1,256,0.02,0,0,0
35,257520625274708,1734500,0,1,0,1,256,0.02,0,0,0
36,257520625276125,1735958,0,1,0,1,256,0.02,1,0,0
37,257520625277541,1737333,0,1,0,1,256,0.02,0,0,0
38,257520625278958,1738875,0,1,0,1,256,0.02,2,0,0
39,257520625315000,1776625,0,1,0,1,256,0.02,0,0,0
40,257520625318291,1778125,0,1,0,1,256,0.02,3,0,0
41,257520625319750,1779542,0,1,0,1,256,0.02,0,0,0
42,257520625325333,1785167,0,1,0,1,256,0.02,1,0,0
43,257520625327041,1786833,0,1,0,1,256,0.02,0,0,0
44,257520625328458,1788292,0,1,0,1,256,0.02,1,0,0
45,257520625329791,1789625,0,1,0,1,256,0.02,0,0,0
46,257520625331208,1791042,0,1,0,1,256,0.02,0,0,0
47,257520625332583,1792417,0,1,0,1,256,0.02,0,0,0
48,257520625367291,1827208,0,1,0,1,256,0.02,1,0,0
49,257520625369000,1828833,0,1,0,1,256,0.02,0,0,0
50,257520625370375,1830208,0,1,0,1,256,0.02,0,0,0
51,257520625371791,1831625,0,1,0,1,256,0.02,1,0,0
52,257520625373291,1833125,0,1,0,1,256,0.02,0,0,0
53,257520625374708,1834542,0,1,0,1,256,0.02,0,0,0
54,257520625376125,1835917,0,1,0,1,256,0.02,1,0,0
55,257520625377583,1837458,0,1,0,1,256,0.02,1,0,0
56,257520625379125,1838958,0,1,0,1,256,0.02,1,0,0
57,257520625380500,1840333,0,1,0,1,256,0.02,0,0,0
58,257520625384458,1844250,0,1,0,1,256,0.02,1,0,0
59,257520625385875,1845708,0,1,0,1,256,0.02,1,0,0
60,257520625387333,1847125,0,1,0,1,256,0.02,0,0,0
61,257520625388666,1848500,0,1,0,1,256,0.02,0,0,0
62,257520625401708,1861792,0,1,0,1,256,0.02,0,0,0
63,257520625403750,1863583,0,1,0,1,256,0.02,1,0,0
64,257520625405208,1865042,0,1,0,1,256,0.02,0,0,0
65,257520625406583,1866417,0,1,0,1,256,0.02,2,0,0
66,257520625411000,1870875,0,1,0,1,256,0.02,0,0,0
67,257520625458791,1921333,0,1,0,1,256,0.02,0,0,0
68,257520625463041,1922875,0,1,0,1,256,0.02,0,0,0
69,257520625464458,1924292,0,1,0,1,256,0.02,2,0,0
70,257520625465958,1925792,0,1,0,1,256,0.02,0,0,0
71,257520625467416,1927208,0,1,0,1,256,0.02,0,0,0
72,257520625468791,1928625,0,1,0,1,256,0.02,1,0,0
73,257520625470208,1930042,0,1,0,1,256,0.02,1,0,0
74,257520625471666,1931500,0,1,0,1,256,0.02,0,0,0
75,257520625473083,1932917,0,1,0,1,256,0.02,1,0,0
76,257520625474541,1934375,0,1,0,1,256,0.02,0,0,0
77,257520625475916,1935750,0,1,0,1,256,0.02,0,0,0
78,257520625477291,1937125,0,1,0,1,256,0.02,1,0,0
79,257520625478750,2012583,0,1,0,1,256,0.02,0,0,0
80,257520625554916,2014833,0,1,0,1,256,0.02,1,0,0
81,257520625556500,2016333,0,1,0,1,256,0.02,1,0,0
82,257520625620541,2080417,0,1,0,1,256,0.02,0,0,0
83,257520625868791,2328750,0,1,0,1,256,0.02,1,0,0
84,257520625870541,2330375,0,1,0,1,256,0.02,1,0,0
85,257520625872000,2331833,0,1,0,1,256,0.02,1,0,0
86,257520625873541,2333375,0,1,0,1,256,0.02,0,0,0
87,257520625880000,2339833,0,1,0,1,256,0.02,1,0,0
88,257520625912708,2372625,0,1,0,1,256,0.02,0,0,0
89,257520625914250,2374083,0,1,0,1,256,0.02,3,0,0
90,257520625920375,2380208,0,1,0,1,256,0.02,0,0,0
91,257520625921750,2381583,0,1,0,1,256,0.02,1,0,0
