seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257553733270291,50541,0,1,0,1,128,0.02,0,0,0
1,257553733324125,103708,0,1,0,1,128,0.02,0,0,0
2,257553733527583,307041,0,1,0,1,128,0.02,1,0,0
3,257553733529458,308875,0,1,0,1,128,0.02,0,0,0
4,257553733531208,310625,0,1,0,1,128,0.02,1,0,0
5,257553733532958,312375,0,1,0,1,128,0.02,0,0,0
6,257553733534666,314083,0,1,0,1,128,0.02,2,0,0
7,257553733536291,315708,0,1,0,1,128,0.02,3,0,0
8,257553733538000,317416,0,1,0,1,128,0.02,0,0,0
9,257553733559750,385041,0,1,0,1,128,0.02,2,0,0
10,257553733608125,387666,0,1,0,1,128,0.02,1,0,0
11,257553733610000,389500,0,1,0,1,128,0.02,0,0,0
12,257553733611833,391250,0,1,0,1,128,0.02,0,0,0
13,257553733613375,392750,0,1,0,1,128,0.02,1,0,0
14,257553733614916,394375,0,1,0,1,128,0.02,1,0,0
15,257553733652416,431875,0,1,0,1,128,0.02,0,0,0
16,257553733654333,433833,0,1,0,1,128,0.02,0,0,0
17,257553733656166,435583,0,1,0,1,128,0.02,1,0,0
18,257553733694250,473750,0,1,0,1,128,0.02,1,0,0
19,257553733695958,475416,0,1,0,1,128,0.02,1,0,0
20,257553733697708,477125,0,1,0,1,128,0.02,1,0,0
21,257553733699458,478875,0,1,0,1,128,0.02,1,0,0
22,257553733701166,480583,0,1,0,1,128,0.02,1,0,0
23,257553733702875,485416,0,1,0,1,128,0.02,0,0,0
24,257553733707833,487250,0,1,0,1,128,0.02,4,0,0
25,257553733709458,488875,0,1,0,1,128,0.02,0,0,0
26,257553733711083,490500,0,1,0,1,128,0.02,1,0,0
27,257553733712666,492083,0,1,0,1,128,0.02,0,0,0
28,257553733726333,505875,0,1,0,1,128,0.02,0,0,0
29,257553733728166,507666,0,1,0,1,128,0.02,0,0,0
30,257553733729958,509375,0,1,0,1,128,0.02,1,0,0
31,257553733731666,511083,0,1,0,1,128,0.02,1,0,0
32,257553733733291,512708,0,1,0,1,128,0.02,1,0,0
