seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257470599164166,147337375,0,1,0,1,179,0.1,0,0,0
1,257470599172916,147342042,0,1,0,1,179,0.1,0,0,0
2,257470599174541,147343708,0,1,0,1,179,0.1,1,0,0
3,257470599176250,147345333,0,1,0,1,179,0.1,0,0,0
4,257470599177666,147346833,0,1,0,1,179,0.1,1,0,0
5,257470599179166,147348250,0,1,0,1,179,0.1,0,0,0
6,257470599180500,147349583,0,1,0,1,179,0.1,2,0,0
7,257470599181875,147350958,0,1,0,1,179,0.1,3,0,0
8,257470599183291,147352375,0,1,0,1,179,0.1,0,0,0
9,257470599184708,147353792,0,1,0,1,179,0.1,2,0,0
10,257470599186125,147355208,0,1,0,1,179,0.1,1,0,0
11,257470599187500,147356583,0,1,0,1,179,0.1,0,0,0
12,257470599188875,147358042,0,1,0,1,179,0.1,0,0,0
13,257470599190291,147359375,0,1,0,1,179,0.1,1,0,0
14,257470599191708,147360792,0,1,0,1,179,0.1,1,0,0
15,257470599193083,147362167,0,1,0,1,179,0.1,0,0,0
16,257470599194416,147363500,0,1,0,1,179,0.1,0,0,0
17,257470599195750,147364875,0,1,0,1,179,0.1,1,0,0
18,257470599197125,147366208,0,1,0,1,179,0.1,1,0,0
19,257470599198541,147367625,0,1,0,1,179,0.1,1,0,0
20,257470599199958,147369042,0,1,0,1,179,0.1,1,0,0
21,257470599201291,147370375,0,1,0,1,179,0.1,1,0,0
22,257470599202708,147371792,0,1,0,1,179,0.1,1,0,0
23,257470599204083,147373208,0,1,0,1,179,0.1,0,0,0
24,257470599205458,147374542,0,1,0,1,179,0.1,4,0,0
25,257470599206791,147375875,0,1,0,1,179,0.1,0,0,0
26,257470599208208,147377292,0,1,0,1,179,0.1,1,0,0
27,257470599209625,147378708,0,1,0,1,179,0.1,0,0,0
28,257470599211000,147380083,0,1,0,1,179,0.1,0,0,0
29,257470599212416,147381542,0,1,0,1,179,0.1,0,0,0
30,257470599213833,147382917,0,1,0,1,179,0.1,1,0,0
31,257470599215208,147384292,0,1,0,1,179,0.1,1,0,0
32,257470599216541,147385625,0,1,0,1,179,0.1,1,0,0
33,257470599217875,147386958,0,1,0,1,179,0.1,0,0,0
34,257470599219166,147388250,0,1,0,1,179,0.1,0,0,0
35,257470599220500,147389583,0,1,0,1,179,0.1,0,0,0
36,257470599221791,147390875,0,1,0,1,179,0.1,1,0,0
37,257470599223083,147392167,0,1,0,1,179,0.1,0,0,0
38,257470599224375,147393458,0,1,0,1,179,0.1,2,0,0
39,257470599225666,147394792,0,1,0,1,179,0.1,0,0,0
40,257470599227000,147396083,0,1,0,1,179,0.1,3,0,0
41,257470599228333,147397417,0,1,0,1,179,0.1,0,0,0
42,257470599229666,147398750,0,1,0,1,179,0.1,1,0,0
43,257470599231041,147400125,0,1,0,1,179,0.1,0,0,0
44,257470599232333,147401417,0,1,0,1,179,0.1,1,0,0
45,257470599233625,147402708,0,1,0,1,179,0.1,0,0,0
46,257470599234916,147404000,0,1,0,1,179,0.1,0,0,0
47,257470599236250,147405375,0,1,0,1,179,0.1,0,0,0
48,257470599237625,147406667,0,1,0,1,179,0.1,1,0,0
49,257470599238958,147408042,0,1,0,1,179,0.1,0,0,0
50,257470599240250,147409333,0,1,0,1,179,0.1,0,0,0
51,257470599290541,147459792,0,1,0,1,179,0.1,1,0,0
52,257470599292916,147462083,0,1,0,1,179,0.1,0,0,0
53,257470599294458,147463542,0,1,0,1,179,0.1,0,0,0
54,257470599295916,147465000,0,1,0,1,179,0.1,1,0,0
55,257470599299125,147468208,0,1,0,1,179,0.1,1,0,0
56,257470599300541,147469625,0,1,0,1,179,0.1,1,0,0
57,257470599301958,147471042,0,1,0,1,179,0.1,0,0,0
58,257470599303291,147472375,0,1,0,1,179,0.1,1,0,0
59,257470599304708,147473792,0,1,0,1,179,0.1,1,0,0
60,257470599306125,147475167,0,1,0,1,179,0.1,0,0,0
