seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257502553076375,582500,0,1,0,1,128,0.1,0,0,0
1,257502553082291,587458,0,1,0,1,128,0.1,0,0,0
2,257502553083750,588916,0,1,0,1,128,0.1,1,0,0
3,257502553085166,590333,0,1,0,1,128,0.1,0,0,0
4,257502553086500,591666,0,1,0,1,128,0.1,1,0,0
5,257502553087916,593083,0,1,0,1,128,0.1,0,0,0
6,257502553089250,594416,0,1,0,1,128,0.1,2,0,0
7,257502553090583,595750,0,1,0,1,128,0.1,3,0,0
8,257502553091958,597125,0,1,0,1,128,0.1,0,0,0
9,257502553093291,598458,0,1,0,1,128,0.1,2,0,0
10,257502553094708,599875,0,1,0,1,128,0.1,1,0,0
11,257502553096125,601291,0,1,0,1,128,0.1,0,0,0
12,257502553097541,602708,0,1,0,1,128,0.1,0,0,0
13,257502553098875,604041,0,1,0,1,128,0.1,1,0,0
14,257502553100250,605416,0,1,0,1,128,0.1,1,0,0
15,257502553101583,606750,0,1,0,1,128,0.1,0,0,0
16,257502553102916,608083,0,1,0,1,128,0.1,0,0,0
17,257502553104250,609375,0,1,0,1,128,0.1,1,0,0
18,257502553105583,610750,0,1,0,1,128,0.1,1,0,0
19,257502553106916,612083,0,1,0,1,128,0.1,1,0,0
20,257502553108250,613416,0,1,0,1,128,0.1,1,0,0
21,257502553109583,614750,0,1,0,1,128,0.1,1,0,0
22,257502553110916,616083,0,1,0,1,128,0.1,1,0,0
23,257502553112291,617416,0,1,0,1,128,0.1,0,0,0
24,257502553113583,618750,0,1,0,1,128,0.1,4,0,0
25,257502553114916,620083,0,1,0,1,128,0.1,0,0,0
26,257502553116250,621416,0,1,0,1,128,0.1,1,0,0
27,257502553117583,622708,0,1,0,1,128,0.1,0,0,0
28,257502553118875,624041,0,1,0,1,128,0.1,0,0,0
29,257502553120208,625333,0,1,0,1,128,0.1,0,0,0
30,257502553121500,626750,0,1,0,1,128,0.1,1,0,0
31,257502553138625,643958,0,1,0,1,128,0.1,1,0,0
32,257502553140458,645666,0,1,0,1,128,0.1,1,0,0
33,257502553141958,647125,0,1,0,1,128,0.1,0,0,0
34,257502553143375,648541,0,1,0,1,128,0.1,0,0,0
35,257502553144708,649875,0,1,0,1,128,0.1,0,0,0
36,257502553146041,651208,0,1,0,1,128,0.1,1,0,0
37,257502553147375,652541,0,1,0,1,128,0.1,0,0,0
38,257502553148708,653833,0,1,0,1,128,0.1,2,0,0
39,257502553150000,655166,0,1,0,1,128,0.1,0,0,0
40,257502553151333,656500,0,1,0,1,128,0.1,3,0,0
41,257502553152666,657833,0,1,0,1,128,0.1,0,0,0
42,257502553154000,659166,0,1,0,1,128,0.1,1,0,0
43,257502553155291,660458,0,1,0,1,128,0.1,0,0,0
44,257502553156625,661791,0,1,0,1,128,0.1,1,0,0
45,257502553157958,663125,0,1,0,1,128,0.1,0,0,0
46,257502553159250,664416,0,1,0,1,128,0.1,0,0,0
47,257502553160583,665750,0,1,0,1,128,0.1,0,0,0
48,257502553161833,667000,0,1,0,1,128,0.1,1,0,0
49,257502553163166,668333,0,1,0,1,128,0.1,0,0,0
50,257502553164458,669625,0,1,0,1,128,0.1,0,0,0
51,257502553165791,670958,0,1,0,1,128,0.1,1,0,0
52,257502553167125,672250,0,1,0,1,128,0.1,0,0,0
53,257502553168416,673583,0,1,0,1,128,0.1,0,0,0
54,257502553169750,674875,0,1,0,1,128,0.1,1,0,0
55,257502553171083,676250,0,1,0,1,128,0.1,1,0,0
56,257502553172375,677541,0,1,0,1,128,0.1,1,0,0
57,257502553173708,678833,0,1,0,1,128,0.1,0,0,0
58,257502553175000,680125,0,1,0,1,128,0.1,1,0,0
59,257502553176291,681458,0,1,0,1,128,0.1,1,0,0
60,257502553177625,682791,0,1,0,1,128,0.1,0,0,0
61,257502553178916,684041,0,1,0,1,128,0.1,0,0,0
62,257502553180208,685333,0,1,0,1,128,0.1,0,0,0
63,257502553181500,686666,0,1,0,1,128,0.1,1,0,0
64,257502553182791,687958,0,1,0,1,128,0.1,0,0,0
65,257502553184125,689291,0,1,0,1,128,0.1,2,0,0
66,257502553185458,690625,0,1,0,1,128,0.1,0,0,0
67,257502553186791,691958,0,1,0,1,128,0.1,0,0,0
68,257502553188083,693250,0,1,0,1,128,0.1,0,0,0
69,257502553189416,694583,0,1,0,1,128,0.1,2,0,0
70,257502553190791,695958,0,1,0,1,128,0.1,0,0,0
71,257502553192125,697291,0,1,0,1,128,0.1,0,0,0
72,257502553193416,698583,0,1,0,1,128,0.1,1,0,0
73,257502553194750,699875,0,1,0,1,128,0.1,1,0,0
74,257502553196083,701250,0,1,0,1,128,0.1,0,0,0
75,257502553197375,702541,0,1,0,1,128,0.1,1,0,0
76,257502553198750,703875,0,1,0,1,128,0.1,0,0,0
77,257502553200000,705166,0,1,0,1,128,0.1,0,0,0
78,257502553201291,706458,0,1,0,1,128,0.1,1,0,0
79,257502553202666,707833,0,1,0,1,128,0.1,0,0,0
80,257502553203958,709125,0,1,0,1,128,0.1,1,0,0
81,257502553205291,710458,0,1,0,1,128,0.1,1,0,0
82,257502553206583,711750,0,1,0,1,128,0.1,0,0,0
83,257502553232541,737791,0,1,0,1,128,0.1,1,0,0
84,257502553234041,739208,0,1,0,1,128,0.1,1,0,0
85,257502553235416,740541,0,1,0,1,128,0.1,1,0,0
86,257502553236750,741916,0,1,0,1,128,0.1,0,0,0
87,257502553238083,743250,0,1,0,1,128,0.1,1,0,0
88,257502553239458,744625,0,1,0,1,128,0.1,0,0,0
89,257502553240750,745916,0,1,0,1,128,0.1,3,0,0
90,257502553242125,747333,0,1,0,1,128,0.1,0,0,0
91,257502553243541,748750,0,1,0,1,128,0.1,1,0,0
92,257502553244958,750208,0,1,0,1,128,0.1,0,0,0
93,257502553246333,751500,0,1,0,1,128,0.1,2,0,0
94,257502553247708,752875,0,1,0,1,128,0.1,2,0,0
95,257502553249083,754333,0,1,0,1,128,0.1,0,0,0
96,257502553250541,755750,0,1,0,1,128,0.1,0,0,0
97,257502553251958,757125,0,1,0,1,128,0.1,3,0,0
98,257502553253333,758500,0,1,0,1,128,0.1,0,0,0
99,257502553254708,759875,0,1,0,1,128,0.1,1,0,0
100,257502553256000,761166,0,1,0,1,128,0.1,0,0,0
101,257502553257333,762458,0,1,0,1,128,0.1,0,0,0
102,257502553258625,763791,0,1,0,1,128,0.1,1,0,0
103,257502553260000,765166,0,1,0,1,128,0.1,0,0,0
104,257502553261333,766583,0,1,0,1,128,0.1,0,0,0
105,257502553262750,767916,0,1,0,1,128,0.1,0,0,0
106,257502553264125,769291,0,1,0,1,128,0.1,1,0,0
107,257502553265458,770583,0,1,0,1,128,0.1,1,0,0
108,257502553266833,772000,0,1,0,1,128,0.1,2,0,0
109,257502553268208,773375,0,1,0,1,128,0.1,0,0,0
110,257502553269500,774666,0,1,0,1,128,0.1,0,0,0
111,257502553270875,776041,0,1,0,1,128,0.1,0,0,0
112,257502553272166,777333,0,1,0,1,128,0.1,1,0,0
113,257502553273500,778625,0,1,0,1,128,0.1,0,0,0
114,257502553274833,780000,0,1,0,1,128,0.1,0,0,0
115,257502553276208,781333,0,1,0,1,128,0.1,0,0,0
116,257502553277500,782666,0,1,0,1,128,0.1,1,0,0
117,257502553278875,784000,0,1,0,1,128,0.1,1,0,0
118,257502553280208,785375,0,1,0,1,128,0.1,0,0,0
119,257502553281625,786791,0,1,0,1,128,0.1,1,0,0
120,257502553283041,788208,0,1,0,1,128,0.1,0,0,0
121,257502553284333,789500,0,1,0,1,128,0.1,0,0,0
122,257502553285708,790833,0,1,0,1,128,0.1,1,0,0
123,257502553287083,792250,0,1,0,1,128,0.1,0,0,0
124,257502553288375,793625,0,1,0,1,128,0.1,0,0,0
125,257502553289750,794916,0,1,0,1,128,0.1,0,0,0
126,257502553291083,796250,0,1,0,1,128,0.1,1,0,0
127,257502553292500,797625,0,1,0,1,128,0.1,1,0,0
128,257502553293791,792000,0,1,0,1,128,0.1,0,0,0
129,257502553295083,793292,0,1,0,1,128,0.1,1,0,0
130,257502553296458,794667,0,1,0,1,128,0.1,1,0,0
131,257502553297791,796042,0,1,0,1,128,0.1,0,0,0
132,257502553299166,797375,0,1,0,1,128,0.1,1,0,0
