seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
255,257498724077125,187752834,0,1,0,1,1,0.1,0,0,0
256,257498724085875,187759875,0,1,0,1,1,0.1,0,0,0
257,257498724087416,187761459,0,1,0,1,1,0.1,0,0,0
258,257498724088875,187762875,0,1,0,1,1,0.1,0,0,0
259,257498724090333,187764334,0,1,0,1,1,0.1,0,0,0
260,257498724091708,187765709,0,1,0,1,1,0.1,0,0,0
261,257498724093250,187767375,0,1,0,1,1,0.1,0,0,0
262,257498724094833,187768917,0,1,0,1,1,0.1,0,0,0
263,257498724096291,187770292,0,1,0,1,1,0.1,0,0,0
264,257498724097666,187771625,0,1,0,1,1,0.1,0,0,0
265,257498724099041,187773042,0,1,0,1,1,0.1,0,0,0
266,257498724100375,187774375,0,1,0,1,1,0.1,0,0,0
267,257498724101750,187775750,0,1,0,1,1,0.1,0,0,0
268,257498724103125,187777125,0,1,0,1,1,0.1,0,0,0
269,257498724104458,187778459,0,1,0,1,1,0.1,0,0,0
270,257498724105833,187779834,0,1,0,1,1,0.1,0,0,0
271,257498724107125,187781125,0,1,0,1,1,0.1,0,0,0
272,257498724108541,187782542,0,1,0,1,1,0.1,0,0,0
273,257498724109916,187783917,0,1,0,1,1,0.1,0,0,0
274,257498724111291,187785250,0,1,0,1,1,0.1,0,0,0
275,257498724112583,187786667,0,1,0,1,1,0.1,0,0,0
276,257498724114000,187788084,0,1,0,1,1,0.1,0,0,0
277,257498724115458,187789459,0,1,0,1,1,0.1,0,0,0
278,257498724116833,187790834,0,1,0,1,1,0.1,0,0,0
279,257498724118208,187792209,0,1,0,1,1,0.1,0,0,0
280,257498724119541,187793500,0,1,0,1,1,0.1,0,0,0
281,257498724120833,187794834,0,1,0,1,1,0.1,0,0,0
282,257498724122166,187796167,0,1,0,1,1,0.1,0,0,0
283,257498724123458,187797500,0,1,0,1,1,0.1,0,0,0
284,257498724124833,187798917,0,1,0,1,1,0.1,0,0,0
285,257498724126291,187800250,0,1,0,1,1,0.1,0,0,0
286,257498724127625,187801625,0,1,0,1,1,0.1,0,0,0
287,257498724129000,187803000,0,1,0,1,1,0.1,0,0,0
288,257498724130333,187804334,0,1,0,1,1,0.1,0,0,0
289,257498724131625,187805625,0,1,0,1,1,0.1,0,0,0
290,257498724133000,187807000,0,1,0,1,1,0.1,0,0,0
291,257498724134291,187808292,0,1,0,1,1,0.1,0,0,0
292,257498724135666,187809625,0,1,0,1,1,0.1,0,0,0
293,257498724137000,187811000,0,1,0,1,1,0.1,0,0,0
294,257498724138375,187812375,0,1,0,1,1,0.1,0,0,0
295,257498724139666,187813667,0,1,0,1,1,0.1,0,0,0
296,257498724140958,187814959,0,1,0,1,1,0.1,0,0,0
297,257498724142291,187816292,0,1,0,1,1,0.1,0,0,0
298,257498724143666,187817625,0,1,0,1,1,0.1,0,0,0
299,257498724145000,187819000,0,1,0,1,1,0.1,0,0,0
300,257498724146333,187820334,0,1,0,1,1,0.1,0,0,0
301,257498724147708,187821667,0,1,0,1,1,0.1,0,0,0
302,257498724149000,187822959,0,1,0,1,1,0.1,0,0,0
303,257498724150333,187824334,0,1,0,1,1,0.1,0,0,0
304,257498724151666,187825667,0,1,0,1,1,0.1,0,0,0
305,257498724153000,187826959,0,1,0,1,1,0.1,0,0,0
306,257498724154333,187828334,0,1,0,1,1,0.1,0,0,0
307,257498724155708,187829709,0,1,0,1,1,0.1,0,0,0
308,257498724157041,187831042,0,1,0,1,1,0.1,0,0,0
309,257498724189333,187863542,0,1,0,1,1,0.1,0,0,0
310,257498724191583,187865625,0,1,0,1,1,0.1,0,0,0
311,257498724193041,187867042,0,1,0,1,1,0.1,0,0,0
312,257498724194416,187868417,0,1,0,1,1,0.1,0,0,0
313,257498724199833,187873834,0,1,0,1,1,0.1,0,0,0
