seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,257511599063958,3535666,0,1,0,1,128,0.1,0,0,0
1,257511600791541,3544250,0,1,0,1,128,0.1,0,0,0
2,257511600793208,3545875,0,1,0,1,128,0.1,1,0,0
3,257511600794625,3547291,0,1,0,1,128,0.1,0,0,0
4,257511600796000,3548625,0,1,0,1,128,0.1,1,0,0
5,257511600797333,3550000,0,1,0,1,128,0.1,0,0,0
6,257511600798666,3551333,0,1,0,1,128,0.1,2,0,0
7,257511600800083,3552791,0,1,0,1,128,0.1,3,0,0
8,257511600801541,3554166,0,1,0,1,128,0.1,0,0,0
9,257511600802875,3555541,0,1,0,1,128,0.1,2,0,0
10,257511600804291,3556958,0,1,0,1,128,0.1,1,0,0
11,257511600805750,3558416,0,1,0,1,128,0.1,0,0,0
12,257511600807083,3559750,0,1,0,1,128,0.1,0,0,0
13,257511600808416,3561083,0,1,0,1,128,0.1,1,0,0
14,257511600809833,3562500,0,1,0,1,128,0.1,1,0,0
15,257511600811291,3563958,0,1,0,1,128,0.1,0,0,0
16,257511600812625,3565291,0,1,0,1,128,0.1,0,0,0
17,257511600813916,3566583,0,1,0,1,128,0.1,1,0,0
18,257511600815291,3567958,0,1,0,1,128,0.1,1,0,0
19,257511600816583,3569250,0,1,0,1,128,0.1,1,0,0
20,257511600817958,3570625,0,1,0,1,128,0.1,1,0,0
21,257511600819250,3571916,0,1,0,1,128,0.1,1,0,0
22,257511600820541,3573208,0,1,0,1,128,0.1,1,0,0
23,257511600821833,3574500,0,1,0,1,128,0.1,0,0,0
24,257511600823166,3575833,0,1,0,1,128,0.1,4,0,0
25,257511600824458,3577125,0,1,0,1,128,0.1,0,0,0
26,257511600825750,3578416,0,1,0,1,128,0.1,1,0,0
27,257511600827125,3579750,0,1,0,1,128,0.1,0,0,0
28,257511600828458,3581083,0,1,0,1,128,0.1,0,0,0
29,257511600829791,3582458,0,1,0,1,128,0.1,0,0,0
30,257511600831000,3583666,0,1,0,1,128,0.1,1,0,0
31,257511600832333,3585041,0,1,0,1,128,0.1,1,0,0
32,257511600833708,3586375,0,1,0,1,128,0.1,1,0,0
