seq,result_timestamp_ns,latency_ns,user_id,score,label,label_valid,window_size_used,alpha_used,staleness_sec,occupancy_at_decision,is_burst_period
0,227603343695250,178709,139,0.30547274,0,0,256,0.02,0,0,0
1,227603343705875,187209,139,0.66338031,0,0,256,0.02,0.017173713,0,0
2,227603343707958,189250,139,0.57031921,0,0,256,0.02,0.23118119,0,0
3,227603343709833,191125,139,0.52920544,0,0,256,0.02,0.237158,0,0
4,227603343711708,192959,139,0.49150856,0,0,256,0.02,0.21623516,0,0
5,227603343713500,194750,139,0.63343766,0,0,256,0.02,0.14208414,0,0
6,227603343715250,196500,139,0.6097568,0,0,256,0.02,0.15474829,0,0
7,227603343717041,198292,139,0.59818793,0,0,256,0.02,0.1290579,0,0
8,227603343718791,200042,139,0.57630318,0,0,256,0.02,0.10628166,0,0
9,227603343720541,201792,139,0.67010337,0,0,256,0.02,0.28026745,0,0
10,227603343722291,203542,139,0.65915028,0,0,256,0.02,0.20493025,0,0
11,227603343724041,205334,139,0.6554198,0,0,256,0.02,0.20538972,0,0
12,227603343725833,207125,139,0.64031862,0,0,256,0.02,0.02185501,0,0
13,227603343727625,208875,139,0.70965187,0,0,256,0.02,0.13876136,0,0
14,227603343729333,210584,139,0.70352754,0,0,256,0.02,0.078361928,0,0
15,227603343731083,212334,139,0.70291638,0,0,256,0.02,0.29850984,0,0
16,227603343732833,214084,139,0.69154454,0,0,256,0.02,0.26398408,0,0
17,227603343734541,215792,139,0.74539798,0,0,256,0.02,0.13857092,0,0
18,227603343736208,217459,139,0.74156088,0,0,256,0.02,0.26338843,0,0
19,227603343737875,219125,139,0.74231585,0,0,256,0.02,0.068791747,0,0
20,227603343739541,220792,139,0.73325663,0,0,256,0.02,0.029531306,0,0
21,227603343741208,222459,139,0.77631343,0,0,256,0.02,0.29875866,0,0
22,227603343742875,224125,139,0.77367621,0,0,256,0.02,0.042188309,0,0
23,227603343744583,225834,139,0.77501,0,0,256,0.02,0.038003128,0,0
24,227603343746333,227584,139,0.76749861,0,0,256,0.02,0.075996876,0,0
25,227603343748125,229375,139,0.80262283,0,0,256,0.02,0.28412992,0,0
26,227603343749791,231084,139,0.80065283,0,0,256,0.02,0.020720216,0,0
27,227603343751458,232709,139,0.80218403,0,0,256,0.02,0.026011882,0,0
28,227603343753125,234375,139,0.79576809,0,0,256,0.02,0.039192371,0,0
29,227603343754750,236000,139,0.82487659,0,0,256,0.02,0.29604873,0,0
30,227603343756375,237625,139,0.82329286,0,0,256,0.02,0.071499743,0,0
31,227603343758041,239292,139,0.82483335,0,0,256,0.02,0.30162287,0,0
32,227603343759666,240959,139,0.81922746,0,0,256,0.02,0.13740028,0,0
33,227603343761291,242542,139,0.84367437,0,0,256,0.02,0.24493836,0,0
34,227603343762916,244167,139,0.84232192,0,0,256,0.02,0.023171231,0,0
35,227603343764541,245792,139,0.84378177,0,0,256,0.02,0.060467221,0,0
36,227603343766166,247459,139,0.83879659,0,0,256,0.02,0.18573971,0,0
37,227603343767791,249042,139,0.85957217,0,0,256,0.02,0.032086469,0,0
38,227603343769416,250667,139,0.85836305,0,0,256,0.02,0.11634833,0,0
39,227603343771000,252250,139,0.8597035,0,0,256,0.02,0.15948673,0,0
40,227603343772666,253917,139,0.85520807,0,0,256,0.02,0.14531632,0,0
41,227603343774250,255500,139,0.87305383,0,0,256,0.02,0.12733603,0,0
42,227603343775833,257084,139,0.87193706,0,0,256,0.02,0.10694782,0,0
43,227603343777458,258709,139,0.87314624,0,0,256,0.02,0.087298878,0,0
44,227603343779083,260334,139,0.86904661,0,0,256,0.02,0.04390816,0,0
45,227603343780750,262000,139,0.88452771,0,0,256,0.02,0.19201234,0,0
46,227603343782375,263625,139,0.88347331,0,0,256,0.02,0.14111601,0,0
47,227603343783958,265250,139,0.88455304,0,0,256,0.02,0.22152747,0,0
48,227603343785583,266834,139,0.8807797,0,0,256,0.02,0.099727847,0,0
49,227603343787250,268500,139,0.89433298,0,0,256,0.02,0.29760697,0,0
50,227603343788875,270167,139,0.89332308,0,0,256,0.02,0.045516334,0,0
51,227603343790541,271792,139,0.8942818,0,0,256,0.02,0.14868183,0,0
52,227603343792208,273459,139,0.89078189,0,0,256,0.02,0.052027337,0,0
53,227603343793833,275084,139,0.90274903,0,0,256,0.02,0.19867304,0,0
54,227603343795458,276709,139,0.90177281,0,0,256,0.02,0.10740178,0,0
55,227603343797125,278375,139,0.90262175,0,0,256,0.02,0.091043413,0,0
56,227603343798750,280000,139,0.8993541,0,0,256,0.02,0.28220952,0,0
57,227603343800416,281667,139,0.91000511,0,0,256,0.02,0.16793297,0,0
58,227603343896416,377834,139,0.90905595,0,0,256,0.02,0.26822156,0,0
59,227603343898250,379500,139,0.909807,0,0,256,0.02,0.019294603,0,0
60,227603343899958,381209,139,0.90673889,0,0,256,0.02,0.014168146,0,0
61,227603343901583,382834,139,0.91628924,0,0,256,0.02,0.039376125,0,0
62,227603343903250,384500,139,0.91536296,0,0,256,0.02,0.13942656,0,0
63,227603343904875,386125,139,0.91602766,0,0,256,0.02,0.0877271,0,0
64,227603343906541,387834,139,0.91313262,0,0,256,0.02,0.27129778,0,0
65,227603343908208,389459,139,0.92175569,0,0,256,0.02,0.040073745,0,0
66,227603343909833,391125,139,0.92084958,0,0,256,0.02,0.26472467,0,0
67,227603343911500,392750,139,0.9214386,0,0,256,0.02,0.11817797,0,0
68,227603343913166,394417,139,0.91869491,0,0,256,0.02,0.17754261,0,0
69,227603343914750,396000,139,0.92653136,0,0,256,0.02,0.044780388,0,0
70,227603343916375,397625,139,0.92564358,0,0,256,0.02,0.084818371,0,0
71,227603343918041,399292,139,0.92616648,0,0,256,0.02,0.13235472,0,0
72,227603343919625,400917,139,0.92355606,0,0,256,0.02,0.054240767,0,0
73,227603343921291,402542,139,0.93072088,0,0,256,0.02,0.11339826,0,0
74,227603343922875,404125,139,0.92985014,0,0,256,0.02,0.12967016,0,0
75,227603343924500,405750,139,0.9303154,0,0,256,0.02,0.10648265,0,0
76,227603343926166,407417,139,0.92782307,0,0,256,0.02,0.034850147,0,0
77,227603343927750,409042,139,0.93441094,0,0,256,0.02,0.17429781,0,0
78,227603343929375,410625,139,0.93355621,0,0,256,0.02,0.11835431,0,0
79,227603343930958,412250,139,0.93397129,0,0,256,0.02,0.21788935,0,0
80,227603343932583,413834,139,0.93158414,0,0,256,0.02,0.27466139,0,0
81,227603343934208,415459,139,0.93767353,0,0,256,0.02,0.24877308,0,0
82,227603343935833,417084,139,0.93683401,0,0,256,0.02,0.026143568,0,0
83,227603343937458,418709,139,0.93720536,0,0,256,0.02,0.16729523,0,0
