shrink,grow,occ_low,occ_high,events,wall_time_ms,direction_changes,final_w,final_alpha
0.5,1.1,0.2,0.6,60000,1010.82,2,8,0.295429
0.5,1.1,0.2,0.7,60000,1006.24,2,8,0.295255
0.5,1.1,0.3,0.6,60000,1004.28,2,8,0.29422
0.5,1.1,0.3,0.7,60000,1002.11,2,8,0.29469
0.5,1.15,0.2,0.6,60000,1003.27,2,256,0.295433
0.5,1.15,0.2,0.7,60000,1008.23,2,256,0.29497
0.5,1.15,0.3,0.6,60000,1004.35,2,256,0.293668
0.5,1.15,0.3,0.7,60000,1007.39,2,256,0.294808
0.5,1.25,0.2,0.6,60000,1005.88,2,256,0.293901
0.5,1.25,0.2,0.7,60000,1004.49,2,256,0.294144
0.5,1.25,0.3,0.6,60000,1003.15,2,256,0.292406
0.5,1.25,0.3,0.7,60000,1006.71,2,256,0.294547
0.7,1.1,0.2,0.6,60000,1004.73,1,8,0.295255
0.7,1.1,0.2,0.7,60000,1003.17,1,8,0.293077
0.7,1.1,0.3,0.6,60000,1007.01,1,8,0.294296
0.7,1.1,0.3,0.7,60000,1002.47,1,8,0.29387
0.7,1.15,0.2,0.6,60000,1007.85,1,8,0.294204
0.7,1.15,0.2,0.7,60000,1006.94,1,8,0.294956
0.7,1.15,0.3,0.6,60000,1003.38,1,8,0.294977
0.7,1.15,0.3,0.7,60000,1006.28,1,8,0.294669
0.7,1.25,0.2,0.6,60000,1006.33,1,8,0.294103
0.7,1.25,0.2,0.7,60000,1002.23,1,8,0.294715
0.7,1.25,0.3,0.6,60000,1002.38,1,8,0.294251
0.7,1.25,0.3,0.7,60000,1006.3,1,8,0.292648
0.85,1.1,0.2,0.6,60000,1007.81,1,8,0.293232
0.85,1.1,0.2,0.7,60000,1006.33,1,8,0.294698
0.85,1.1,0.3,0.6,60000,1006.32,1,8,0.294399
0.85,1.1,0.3,0.7,60000,1005.93,1,8,0.294919
0.85,1.15,0.2,0.6,60000,1003.29,1,8,0.294657
0.85,1.15,0.2,0.7,60000,1003.16,1,8,0.293579
0.85,1.15,0.3,0.6,60000,1007.7,1,8,0.289081
0.85,1.15,0.3,0.7,60000,1003.1,1,8,0.294133
0.85,1.25,0.2,0.6,60000,1006.88,1,8,0.294841
0.85,1.25,0.2,0.7,60000,1005.75,1,8,0.294584
0.85,1.25,0.3,0.6,60000,1007.28,1,8,0.293744
0.85,1.25,0.3,0.7,60000,1003.13,1,8,0.29507
